Chain,Step,FromNode,ToNode,FromContinent,ToContinent,Notes
LIBRA,1,CT-NA,FS-EU,North America,Europe,LIBRA flow from CT-NA (North America) to FS-EU (Europe).
LIBRA,2,FS-EU,XS-AS,Europe,Asia,LIBRA flow from FS-EU (Europe) to XS-AS (Asia).
LIBRA,3,XS-AS,CT-OC,Asia,Oceania,LIBRA flow from XS-AS (Asia) to CT-OC (Oceania).
LIBRA,4,CT-OC,FS-AF,Oceania,Africa,LIBRA flow from CT-OC (Oceania) to FS-AF (Africa).
LIBRA,5,FS-AF,XS-SA,Africa,South America,LIBRA flow from FS-AF (Africa) to XS-SA (South America).
LIBRA,6,XS-SA,CT-NA,South America,North America,LIBRA flow from XS-SA (South America) to CT-NA (North America).
LITHIUM,1,FS-NA,XS-EU,North America,Europe,LITHIUM flow from FS-NA (North America) to XS-EU (Europe).
LITHIUM,2,XS-EU,CT-AS,Europe,Asia,LITHIUM flow from XS-EU (Europe) to CT-AS (Asia).
LITHIUM,3,CT-AS,FS-OC,Asia,Oceania,LITHIUM flow from CT-AS (Asia) to FS-OC (Oceania).
LITHIUM,4,FS-OC,XS-AF,Oceania,Africa,LITHIUM flow from FS-OC (Oceania) to XS-AF (Africa).
LITHIUM,5,XS-AF,CT-SA,Africa,South America,LITHIUM flow from XS-AF (Africa) to CT-SA (South America).
LITHIUM,6,CT-SA,FS-NA,South America,North America,LITHIUM flow from CT-SA (South America) to FS-NA (North America).
ORION,1,XS-NA,CT-EU,North America,Europe,ORION flow from XS-NA (North America) to CT-EU (Europe).
ORION,2,CT-EU,FS-AS,Europe,Asia,ORION flow from CT-EU (Europe) to FS-AS (Asia).
ORION,3,FS-AS,XS-OC,Asia,Oceania,ORION flow from FS-AS (Asia) to XS-OC (Oceania).
ORION,4,XS-OC,CT-AF,Oceania,Africa,ORION flow from XS-OC (Oceania) to CT-AF (Africa).
ORION,5,CT-AF,FS-SA,Africa,South America,ORION flow from CT-AF (Africa) to FS-SA (South America).
ORION,6,FS-SA,XS-NA,South America,North America,ORION flow from FS-SA (South America) to XS-NA (North America).
